,PCE_before,PCE_after,PCE_delta,PCE_before_ceil,PCE_before_x,PCE_before_ceil_x,PCE_before_median_x,PCE_before_mean_x
2017,9.755035404,6.089448033,37.57636153,10,1,10.39182878,7.725121882,7.267622968
2018,10.51766165,4.530736424,56.92258817,11,2,14.15807755,12.39123084,12.39098432
2019,7.168057864,5.828634411,18.68600224,8,1,10.39182878,7.725121882,7.267622968
2020,8.737014235,5.344297242,38.83153789,9,1,10.39182878,7.725121882,7.267622968
2021,13.43326072,5.590820442,58.38076431,14,2,14.15807755,12.39123084,12.39098432
2022,9.532445246,4.468748642,53.12064715,10,1,10.39182878,7.725121882,7.267622968
2023,8.446376225,4.266372107,49.48872755,9,1,10.39182878,7.725121882,7.267622968
2024,7.212077715,5.474480631,24.09287798,8,1,10.39182878,7.725121882,7.267622968
2025,9.840960776,5.027943808,48.9079987,10,1,10.39182878,7.725121882,7.267622968
2026,7.53303931,7.433237774,1.324850851,8,1,10.39182878,7.725121882,7.267622968
2027,8.121645505,1.96476031,75.80834685,9,1,10.39182878,7.725121882,7.267622968
2028,6.363111532,0.84736751,86.68312655,7,1,10.39182878,7.725121882,7.267622968
2029,7.282265537,3.307330981,54.58376293,8,1,10.39182878,7.725121882,7.267622968
2030,9.925278893,4.458061727,55.08376364,10,1,10.39182878,7.725121882,7.267622968
2031,9.911062781,3.804899246,61.60957376,10,1,10.39182878,7.725121882,7.267622968
2032,6.691620244,1.124381343,83.19717345,7,1,10.39182878,7.725121882,7.267622968
2033,5.822762024,0.641239459,88.9873662,6,1,10.39182878,7.725121882,7.267622968
2034,6.640867685,0.675198272,89.83267995,7,1,10.39182878,7.725121882,7.267622968
2035,7.975292112,0.979223169,87.72178931,8,1,10.39182878,7.725121882,7.267622968
2036,8.212320843,1.698815344,79.31382156,9,1,10.39182878,7.725121882,7.267622968
2037,11.43985261,7.359701039,35.66612011,12,2,14.15807755,12.39123084,12.39098432
2038,8.719769562,5.546136881,36.39583201,9,1,10.39182878,7.725121882,7.267622968
2039,11.48633878,9.684971214,15.68269579,12,2,14.15807755,12.39123084,12.39098432
2040,10.85241565,7.923049084,26.99276053,11,2,14.15807755,12.39123084,12.39098432
2041,10.01681258,5.877836403,41.32029171,11,1,10.39182878,7.725121882,7.267622968
2042,8.696926062,2.44113628,71.93104481,9,1,10.39182878,7.725121882,7.267622968
2043,7.185264697,2.071313464,71.17276048,8,1,10.39182878,7.725121882,7.267622968
2044,9.482016575,3.398118651,64.16248986,10,1,10.39182878,7.725121882,7.267622968
2045,9.610494163,3.996453226,58.4157364,10,1,10.39182878,7.725121882,7.267622968
2046,8.352679296,1.346630196,83.87786543,9,1,10.39182878,7.725121882,7.267622968
2047,7.936113442,1.096549313,86.18279185,8,1,10.39182878,7.725121882,7.267622968
2048,8.826586744,4.660820327,47.1956662,9,1,10.39182878,7.725121882,7.267622968
2049,9.820246785,2.506878451,74.47234774,10,1,10.39182878,7.725121882,7.267622968
2050,7.663977409,1.766650156,76.94865131,8,1,10.39182878,7.725121882,7.267622968
2051,8.430734541,1.57265305,81.34619181,9,1,10.39182878,7.725121882,7.267622968
2052,6.868919467,1.283218835,81.31847606,7,1,10.39182878,7.725121882,7.267622968
2053,5.319307607,3.094418971,41.82665866,6,1,10.39182878,7.725121882,7.267622968
2054,4.299916074,0.927482006,78.43023003,5,1,10.39182878,7.725121882,7.267622968
2055,6.306299414,5.6639268,10.18620544,7,1,10.39182878,7.725121882,7.267622968
2056,4.915895481,1.829509593,62.78379798,5,1,10.39182878,7.725121882,7.267622968
2057,4.742362058,0.817642424,82.75875156,5,1,10.39182878,7.725121882,7.267622968
2058,4.19571331,0.484455387,88.45356318,5,1,10.39182878,7.725121882,7.267622968
2059,3.32435988,0.16322401,95.09006196,4,1,10.39182878,7.725121882,7.267622968
2060,5.548454933,4.363766916,21.35167414,6,1,10.39182878,7.725121882,7.267622968
2061,7.238764138,6.837278887,5.546323155,8,1,10.39182878,7.725121882,7.267622968
2062,8.920694435,8.598715477,3.609348584,9,1,10.39182878,7.725121882,7.267622968
2063,6.21877604,2.920941728,53.03027944,7,1,10.39182878,7.725121882,7.267622968
2064,7.725121882,6.175927872,20.05397499,8,1,10.39182878,7.725121882,7.267622968
2065,6.935506648,6.070744474,12.46862295,7,1,10.39182878,7.725121882,7.267622968
2066,7.084259508,6.423930144,9.321078138,8,1,10.39182878,7.725121882,7.267622968
2067,8.090689819,7.415057656,8.350736202,9,1,10.39182878,7.725121882,7.267622968
2068,7.567466754,6.826032588,9.797653434,8,1,10.39182878,7.725121882,7.267622968
2069,6.548078957,4.743396981,27.56047977,7,1,10.39182878,7.725121882,7.267622968
